app,category,pass1_confidence,field,pass1_answer,recheck_answer,agreement,recheck_status,self_serve_status_v1_v2_changed,human_verified_correct_answer
Airtable,Productivity & PM,high,auth_methods,"apikey,oauth2","apikey,oauth",no,ok,yes,
Airtable,Productivity & PM,high,self_serve_status,selfservefree,selfservefree,yes,ok,yes,
Airtable,Productivity & PM,high,api_surface,rest,rest,yes,ok,yes,
Airtable,Productivity & PM,high,api_breadth,broad,broad,yes,ok,yes,
Airtable,Productivity & PM,high,has_mcp,official,official,yes,ok,yes,
Airtable,Productivity & PM,high,buildability_verdict,readywithfriction,ready,no,ok,yes,
Clay,Data & Scraping,high,auth_methods,"apikey,jwt",,no,ok,yes,
Clay,Data & Scraping,high,self_serve_status,gatedpaidplan,gatedpaidplan,yes,ok,yes,
Clay,Data & Scraping,high,api_surface,rest,rest,yes,ok,yes,
Clay,Data & Scraping,high,api_breadth,moderate,moderate,yes,ok,yes,
Clay,Data & Scraping,high,has_mcp,official,official,yes,ok,yes,
Clay,Data & Scraping,high,buildability_verdict,readywithfriction,readywithfriction,yes,ok,yes,
Copper,CRM,high,auth_methods,"apikey,oauth2",oauth20,no,ok,yes,
Copper,CRM,high,self_serve_status,selfservetrial,selfservefree,no,ok,yes,
Copper,CRM,high,api_surface,rest,rest,yes,ok,yes,
Copper,CRM,high,api_breadth,moderate,broad,no,ok,yes,
Copper,CRM,high,has_mcp,official,official,yes,ok,yes,
Copper,CRM,high,buildability_verdict,ready,ready,yes,ok,yes,
GoHighLevel,Marketing & Ads,high,auth_methods,"apikey,basicauth,oauth2",apikey,no,ok,yes,
GoHighLevel,Marketing & Ads,high,self_serve_status,gatedpaidplan,gatedpaidplan,yes,ok,yes,
GoHighLevel,Marketing & Ads,high,api_surface,rest,rest,yes,ok,yes,
GoHighLevel,Marketing & Ads,high,api_breadth,broad,moderate,no,ok,yes,
GoHighLevel,Marketing & Ads,high,has_mcp,official,official,yes,ok,yes,
GoHighLevel,Marketing & Ads,high,buildability_verdict,readywithfriction,readywithfriction,yes,ok,yes,
Linear,Productivity & PM,high,auth_methods,"apikey,oauth2","oauth20,personalapikey",no,ok,yes,
Linear,Productivity & PM,high,self_serve_status,selfservefree,selfservefree,yes,ok,yes,
Linear,Productivity & PM,high,api_surface,graphql,graphql,yes,ok,yes,
Linear,Productivity & PM,high,api_breadth,broad,broad,yes,ok,yes,
Linear,Productivity & PM,high,has_mcp,official,official,yes,ok,yes,
Linear,Productivity & PM,high,buildability_verdict,readywithfriction,ready,no,ok,yes,
Mailchimp,Marketing & Ads,high,auth_methods,"apikey,oauth2","apikey,oauth20",no,ok,yes,
Mailchimp,Marketing & Ads,high,self_serve_status,selfservefree,selfservetrial,no,ok,yes,
Mailchimp,Marketing & Ads,high,api_surface,rest,rest,yes,ok,yes,
Mailchimp,Marketing & Ads,high,api_breadth,broad,broad,yes,ok,yes,
Mailchimp,Marketing & Ads,high,has_mcp,official,official,yes,ok,yes,
Mailchimp,Marketing & Ads,high,buildability_verdict,readywithfriction,readywithfriction,yes,ok,yes,
Zoho Cliq,Messaging & Comms,high,auth_methods,oauth2,,no,ok,yes,
Zoho Cliq,Messaging & Comms,high,self_serve_status,selfservefree,gatedapproval,no,ok,yes,
Zoho Cliq,Messaging & Comms,high,api_surface,rest,nonepublic,no,ok,yes,
Zoho Cliq,Messaging & Comms,high,api_breadth,broad,narrow,no,ok,yes,
Zoho Cliq,Messaging & Comms,high,has_mcp,official,none,no,ok,yes,
Zoho Cliq,Messaging & Comms,high,buildability_verdict,readywithfriction,blocked,no,ok,yes,
iPayX,Fintech & Payments,high,auth_methods,,,yes,ok,yes,
iPayX,Fintech & Payments,high,self_serve_status,gatedapproval,unknown,no,ok,yes,
iPayX,Fintech & Payments,high,api_surface,nonepublic,nonepublic,yes,ok,yes,
iPayX,Fintech & Payments,high,api_breadth,unknown,unknown,yes,ok,yes,
iPayX,Fintech & Payments,high,has_mcp,none,none,yes,ok,yes,
iPayX,Fintech & Payments,high,buildability_verdict,blocked,blocked,yes,ok,yes,
DealCloud,CRM,high,auth_methods,"apikey,oauth2",,no,ok,no,
DealCloud,CRM,high,self_serve_status,gatedpaidplan,gatedapproval,no,ok,no,
DealCloud,CRM,high,api_surface,rest,nonepublic,no,ok,no,
DealCloud,CRM,high,api_breadth,broad,narrow,no,ok,no,
DealCloud,CRM,high,has_mcp,official,none,no,ok,no,
DealCloud,CRM,high,buildability_verdict,readywithfriction,blocked,no,ok,no,
Ecwid,E-Commerce,high,auth_methods,"apikey,oauth2",oauth20,no,ok,no,
Ecwid,E-Commerce,high,self_serve_status,gatedpaidplan,selfservefree,no,ok,no,
Ecwid,E-Commerce,high,api_surface,rest,rest,yes,ok,no,
Ecwid,E-Commerce,high,api_breadth,broad,broad,yes,ok,no,
Ecwid,E-Commerce,high,has_mcp,official,official,yes,ok,no,
Ecwid,E-Commerce,high,buildability_verdict,readywithfriction,readywithfriction,yes,ok,no,
GitHub,Dev Tools & Infra,high,auth_methods,"apikey,basicauth,jwt,oauth2","githubappstoken,oauth20,personalaccesstokens,sshkeys",no,ok,no,
GitHub,Dev Tools & Infra,high,self_serve_status,selfservefree,selfservefree,yes,ok,no,
GitHub,Dev Tools & Infra,high,api_surface,rest,rest,yes,ok,no,
GitHub,Dev Tools & Infra,high,api_breadth,broad,broad,yes,ok,no,
GitHub,Dev Tools & Infra,high,has_mcp,official,official,yes,ok,no,
GitHub,Dev Tools & Infra,high,buildability_verdict,ready,ready,yes,ok,no,
Gumroad,E-Commerce,high,auth_methods,"apikey,oauth2",personalaccesstoken,no,ok,no,
Gumroad,E-Commerce,high,self_serve_status,selfservefree,selfservefree,yes,ok,no,
Gumroad,E-Commerce,high,api_surface,rest,rest,yes,ok,no,
Gumroad,E-Commerce,high,api_breadth,moderate,moderate,yes,ok,no,
Gumroad,E-Commerce,high,has_mcp,none,official,no,ok,no,
Gumroad,E-Commerce,high,buildability_verdict,readywithfriction,ready,no,ok,no,
Intercom,Customer Support,high,auth_methods,"apikey,oauth2",bearertokenoauth20style,no,ok,no,
Intercom,Customer Support,high,self_serve_status,selfservetrial,selfservetrial,yes,ok,no,
Intercom,Customer Support,high,api_surface,rest,rest,yes,ok,no,
Intercom,Customer Support,high,api_breadth,broad,broad,yes,ok,no,
Intercom,Customer Support,high,has_mcp,official,official,yes,ok,no,
Intercom,Customer Support,high,buildability_verdict,readywithfriction,readywithfriction,yes,ok,no,
Mermaid CLI,AI & Research Tools,high,auth_methods,,,yes,ok,no,
Mermaid CLI,AI & Research Tools,high,self_serve_status,selfservefree,opensourceselfhost,no,ok,no,
Mermaid CLI,AI & Research Tools,high,api_surface,sdkonly,sdkonly,yes,ok,no,
Mermaid CLI,AI & Research Tools,high,api_breadth,narrow,narrow,yes,ok,no,
Mermaid CLI,AI & Research Tools,high,has_mcp,none,official,no,ok,no,
Mermaid CLI,AI & Research Tools,high,buildability_verdict,ready,ready,yes,ok,no,
Paygent Connect,Fintech & Payments,high,auth_methods,"apikey,basicauth,token",,no,ok,no,
Paygent Connect,Fintech & Payments,high,self_serve_status,gatedapproval,gatedapproval,yes,ok,no,
Paygent Connect,Fintech & Payments,high,api_surface,rest,nonepublic,no,ok,no,
Paygent Connect,Fintech & Payments,high,api_breadth,moderate,none,no,ok,no,
Paygent Connect,Fintech & Payments,high,has_mcp,unknown,none,no,ok,no,
Paygent Connect,Fintech & Payments,high,buildability_verdict,readywithfriction,blocked,no,ok,no,
Twilio,Messaging & Comms,high,auth_methods,"apikey,oauth2","accesstokensjwt,accountsidandauthtoken,apikey",no,ok,no,
Twilio,Messaging & Comms,high,self_serve_status,selfservetrial,selfservefree,no,ok,no,
Twilio,Messaging & Comms,high,api_surface,restandgraphql,rest,no,ok,no,
Twilio,Messaging & Comms,high,api_breadth,broad,broad,yes,ok,no,
Twilio,Messaging & Comms,high,has_mcp,official,official,yes,ok,no,
Twilio,Messaging & Comms,high,buildability_verdict,ready,ready,yes,ok,no,
Vercel,Dev Tools & Infra,high,auth_methods,apikey,bearertoken,no,ok,no,
Vercel,Dev Tools & Infra,high,self_serve_status,selfservefree,selfservefree,yes,ok,no,
Vercel,Dev Tools & Infra,high,api_surface,rest,rest,yes,ok,no,
Vercel,Dev Tools & Infra,high,api_breadth,broad,broad,yes,ok,no,
Vercel,Dev Tools & Infra,high,has_mcp,official,official,yes,ok,no,
Vercel,Dev Tools & Infra,high,buildability_verdict,ready,ready,yes,ok,no,
Waterfall.io,Data & Scraping,high,auth_methods,apikey,,no,ok,no,
Waterfall.io,Data & Scraping,high,self_serve_status,selfservetrial,unknown,no,ok,no,
Waterfall.io,Data & Scraping,high,api_surface,rest,nonepublic,no,ok,no,
Waterfall.io,Data & Scraping,high,api_breadth,broad,narrow,no,ok,no,
Waterfall.io,Data & Scraping,high,has_mcp,none,none,yes,ok,no,
Waterfall.io,Data & Scraping,high,buildability_verdict,readywithfriction,blocked,no,ok,no,
Zendesk,Customer Support,high,auth_methods,"apikey,basicauth,oauth2","apitoken,basicauth,oauth",no,ok,no,
Zendesk,Customer Support,high,self_serve_status,selfservetrial,selfservefree,no,ok,no,
Zendesk,Customer Support,high,api_surface,rest,rest,yes,ok,no,
Zendesk,Customer Support,high,api_breadth,broad,broad,yes,ok,no,
Zendesk,Customer Support,high,has_mcp,official,official,yes,ok,no,
Zendesk,Customer Support,high,buildability_verdict,readywithfriction,ready,no,ok,no,
higgsfield,AI & Research Tools,high,auth_methods,apikey,,no,ok,no,
higgsfield,AI & Research Tools,high,self_serve_status,selfservetrial,unknown,no,ok,no,
higgsfield,AI & Research Tools,high,api_surface,sdkonly,nonepublic,no,ok,no,
higgsfield,AI & Research Tools,high,api_breadth,moderate,narrow,no,ok,no,
higgsfield,AI & Research Tools,high,has_mcp,official,none,no,ok,no,
higgsfield,AI & Research Tools,high,buildability_verdict,readywithfriction,blocked,no,ok,no,
